family_semantics,certification_regime,mode,severity,threshold_fraction,support_width,samples,strict_loss_rate,family_loss_rate,family_rescue_rate,no_worse_violation_rate,mean_family_size
exact_k,cut_level,selector_stress,0.5,1.0,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,0.5,1.0,4,440,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,0.75,0.25,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,0.75,0.25,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,cut_level,selector_stress,0.75,0.25,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,cut_level,selector_stress,0.75,0.25,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,cut_level,selector_stress,0.75,0.5,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,0.75,0.5,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,cut_level,selector_stress,0.75,0.5,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,cut_level,selector_stress,0.75,0.5,4,440,0.0,0.0,0.0,0.0,6.0
exact_k,cut_level,selector_stress,0.75,0.75,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,0.75,0.75,2,430,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,0.75,0.75,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,0.75,0.75,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,cut_level,selector_stress,0.75,1.0,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,0.75,1.0,2,430,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,0.75,1.0,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,0.75,1.0,4,440,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,1.0,0.25,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,1.0,0.25,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,cut_level,selector_stress,1.0,0.25,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,cut_level,selector_stress,1.0,0.25,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,cut_level,selector_stress,1.0,0.5,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,1.0,0.5,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,cut_level,selector_stress,1.0,0.5,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,cut_level,selector_stress,1.0,0.5,4,440,0.0,0.0,0.0,0.0,6.0
exact_k,cut_level,selector_stress,1.0,0.75,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,1.0,0.75,2,430,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,1.0,0.75,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,1.0,0.75,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,cut_level,selector_stress,1.0,1.0,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,1.0,1.0,2,430,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,1.0,1.0,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,selector_stress,1.0,1.0,4,440,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.0,0.25,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.0,0.25,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,cut_level,support_delay,0.0,0.25,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,cut_level,support_delay,0.0,0.25,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,cut_level,support_delay,0.0,0.5,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.0,0.5,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,cut_level,support_delay,0.0,0.5,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,cut_level,support_delay,0.0,0.5,4,440,0.0,0.0,0.0,0.0,6.0
exact_k,cut_level,support_delay,0.0,0.75,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.0,0.75,2,430,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.0,0.75,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.0,0.75,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,cut_level,support_delay,0.0,1.0,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.0,1.0,2,430,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.0,1.0,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.0,1.0,4,440,0.0,0.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.25,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.25,0.25,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,cut_level,support_delay,0.25,0.25,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,cut_level,support_delay,0.25,0.25,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,cut_level,support_delay,0.25,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.25,0.5,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,cut_level,support_delay,0.25,0.5,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,cut_level,support_delay,0.25,0.5,4,440,1.0,1.0,0.0,0.0,6.0
exact_k,cut_level,support_delay,0.25,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.25,0.75,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.25,0.75,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.25,0.75,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,cut_level,support_delay,0.25,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.25,1.0,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.25,1.0,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.25,1.0,4,440,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.5,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.5,0.25,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,cut_level,support_delay,0.5,0.25,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,cut_level,support_delay,0.5,0.25,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,cut_level,support_delay,0.5,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.5,0.5,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,cut_level,support_delay,0.5,0.5,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,cut_level,support_delay,0.5,0.5,4,440,1.0,1.0,0.0,0.0,6.0
exact_k,cut_level,support_delay,0.5,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.5,0.75,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.5,0.75,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.5,0.75,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,cut_level,support_delay,0.5,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.5,1.0,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.5,1.0,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.5,1.0,4,440,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.75,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.75,0.25,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,cut_level,support_delay,0.75,0.25,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,cut_level,support_delay,0.75,0.25,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,cut_level,support_delay,0.75,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.75,0.5,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,cut_level,support_delay,0.75,0.5,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,cut_level,support_delay,0.75,0.5,4,440,1.0,1.0,0.0,0.0,6.0
exact_k,cut_level,support_delay,0.75,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.75,0.75,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.75,0.75,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.75,0.75,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,cut_level,support_delay,0.75,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.75,1.0,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.75,1.0,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,0.75,1.0,4,440,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,1.0,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,1.0,0.25,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,cut_level,support_delay,1.0,0.25,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,cut_level,support_delay,1.0,0.25,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,cut_level,support_delay,1.0,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,1.0,0.5,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,cut_level,support_delay,1.0,0.5,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,cut_level,support_delay,1.0,0.5,4,440,1.0,1.0,0.0,0.0,6.0
exact_k,cut_level,support_delay,1.0,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,1.0,0.75,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,1.0,0.75,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,1.0,0.75,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,cut_level,support_delay,1.0,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,1.0,1.0,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,1.0,1.0,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,cut_level,support_delay,1.0,1.0,4,440,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.0,0.25,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.0,0.25,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,parent_shared,edge_dropout,0.0,0.25,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,parent_shared,edge_dropout,0.0,0.25,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,parent_shared,edge_dropout,0.0,0.5,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.0,0.5,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,parent_shared,edge_dropout,0.0,0.5,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,parent_shared,edge_dropout,0.0,0.5,4,440,0.0,0.0,0.0,0.0,6.0
exact_k,parent_shared,edge_dropout,0.0,0.75,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.0,0.75,2,430,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.0,0.75,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.0,0.75,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,parent_shared,edge_dropout,0.0,1.0,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.0,1.0,2,430,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.0,1.0,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.0,1.0,4,440,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.25,0.25,1,1054,0.877609,0.877609,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.25,0.25,2,430,0.562791,0.083721,0.47907,0.0,2.0
exact_k,parent_shared,edge_dropout,0.25,0.25,3,476,0.701681,0.012605,0.689076,0.0,3.0
exact_k,parent_shared,edge_dropout,0.25,0.25,4,440,0.740909,0.002273,0.738636,0.0,4.0
exact_k,parent_shared,edge_dropout,0.25,0.5,1,1054,0.877609,0.877609,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.25,0.5,2,430,0.562791,0.083721,0.47907,0.0,2.0
exact_k,parent_shared,edge_dropout,0.25,0.5,3,476,0.701681,0.170168,0.531513,0.0,3.0
exact_k,parent_shared,edge_dropout,0.25,0.5,4,440,0.740909,0.029545,0.711364,0.0,6.0
exact_k,parent_shared,edge_dropout,0.25,0.75,1,1054,0.877609,0.877609,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.25,0.75,2,430,0.562791,0.562791,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.25,0.75,3,476,0.701681,0.701681,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.25,0.75,4,440,0.740909,0.277273,0.463636,0.0,4.0
exact_k,parent_shared,edge_dropout,0.25,1.0,1,1054,0.877609,0.877609,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.25,1.0,2,430,0.562791,0.562791,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.25,1.0,3,476,0.701681,0.701681,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.25,1.0,4,440,0.740909,0.740909,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.5,0.25,1,1054,0.702087,0.702087,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.5,0.25,2,430,0.834884,0.218605,0.616279,0.0,2.0
exact_k,parent_shared,edge_dropout,0.5,0.25,3,476,0.905462,0.105042,0.80042,0.0,3.0
exact_k,parent_shared,edge_dropout,0.5,0.25,4,440,0.965909,0.025,0.940909,0.0,4.0
exact_k,parent_shared,edge_dropout,0.5,0.5,1,1054,0.702087,0.702087,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.5,0.5,2,430,0.834884,0.218605,0.616279,0.0,2.0
exact_k,parent_shared,edge_dropout,0.5,0.5,3,476,0.905462,0.548319,0.357143,0.0,3.0
exact_k,parent_shared,edge_dropout,0.5,0.5,4,440,0.965909,0.313636,0.652273,0.0,6.0
exact_k,parent_shared,edge_dropout,0.5,0.75,1,1054,0.702087,0.702087,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.5,0.75,2,430,0.834884,0.834884,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.5,0.75,3,476,0.905462,0.905462,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.5,0.75,4,440,0.965909,0.720455,0.245455,0.0,4.0
exact_k,parent_shared,edge_dropout,0.5,1.0,1,1054,0.702087,0.702087,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.5,1.0,2,430,0.834884,0.834884,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.5,1.0,3,476,0.905462,0.905462,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.5,1.0,4,440,0.965909,0.965909,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.75,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.75,0.25,2,430,0.974419,0.595349,0.37907,0.0,2.0
exact_k,parent_shared,edge_dropout,0.75,0.25,3,476,0.993697,0.42437,0.569328,0.0,3.0
exact_k,parent_shared,edge_dropout,0.75,0.25,4,440,1.0,0.304545,0.695455,0.0,4.0
exact_k,parent_shared,edge_dropout,0.75,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.75,0.5,2,430,0.974419,0.595349,0.37907,0.0,2.0
exact_k,parent_shared,edge_dropout,0.75,0.5,3,476,0.993697,0.897059,0.096639,0.0,3.0
exact_k,parent_shared,edge_dropout,0.75,0.5,4,440,1.0,0.806818,0.193182,0.0,6.0
exact_k,parent_shared,edge_dropout,0.75,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.75,0.75,2,430,0.974419,0.974419,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.75,0.75,3,476,0.993697,0.993697,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.75,0.75,4,440,1.0,0.986364,0.013636,0.0,4.0
exact_k,parent_shared,edge_dropout,0.75,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.75,1.0,2,430,0.974419,0.974419,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.75,1.0,3,476,0.993697,0.993697,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,0.75,1.0,4,440,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,1.0,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,1.0,0.25,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,parent_shared,edge_dropout,1.0,0.25,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,parent_shared,edge_dropout,1.0,0.25,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,parent_shared,edge_dropout,1.0,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,1.0,0.5,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,parent_shared,edge_dropout,1.0,0.5,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,parent_shared,edge_dropout,1.0,0.5,4,440,1.0,1.0,0.0,0.0,6.0
exact_k,parent_shared,edge_dropout,1.0,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,1.0,0.75,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,1.0,0.75,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,1.0,0.75,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,parent_shared,edge_dropout,1.0,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,1.0,1.0,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,1.0,1.0,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,edge_dropout,1.0,1.0,4,440,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.0,0.25,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.0,0.25,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,parent_shared,frontier_dropout,0.0,0.25,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,parent_shared,frontier_dropout,0.0,0.25,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,parent_shared,frontier_dropout,0.0,0.5,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.0,0.5,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,parent_shared,frontier_dropout,0.0,0.5,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,parent_shared,frontier_dropout,0.0,0.5,4,440,0.0,0.0,0.0,0.0,6.0
exact_k,parent_shared,frontier_dropout,0.0,0.75,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.0,0.75,2,430,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.0,0.75,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.0,0.75,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,parent_shared,frontier_dropout,0.0,1.0,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.0,1.0,2,430,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.0,1.0,3,476,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.0,1.0,4,440,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.25,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.25,0.25,2,430,1.0,0.0,1.0,0.0,2.0
exact_k,parent_shared,frontier_dropout,0.25,0.25,3,476,1.0,0.0,1.0,0.0,3.0
exact_k,parent_shared,frontier_dropout,0.25,0.25,4,440,1.0,0.0,1.0,0.0,4.0
exact_k,parent_shared,frontier_dropout,0.25,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.25,0.5,2,430,1.0,0.0,1.0,0.0,2.0
exact_k,parent_shared,frontier_dropout,0.25,0.5,3,476,1.0,0.0,1.0,0.0,3.0
exact_k,parent_shared,frontier_dropout,0.25,0.5,4,440,1.0,0.0,1.0,0.0,6.0
exact_k,parent_shared,frontier_dropout,0.25,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.25,0.75,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.25,0.75,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.25,0.75,4,440,1.0,0.0,1.0,0.0,4.0
exact_k,parent_shared,frontier_dropout,0.25,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.25,1.0,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.25,1.0,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.25,1.0,4,440,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.5,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.5,0.25,2,430,1.0,0.0,1.0,0.0,2.0
exact_k,parent_shared,frontier_dropout,0.5,0.25,3,476,1.0,0.0,1.0,0.0,3.0
exact_k,parent_shared,frontier_dropout,0.5,0.25,4,440,1.0,0.0,1.0,0.0,4.0
exact_k,parent_shared,frontier_dropout,0.5,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.5,0.5,2,430,1.0,0.0,1.0,0.0,2.0
exact_k,parent_shared,frontier_dropout,0.5,0.5,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,parent_shared,frontier_dropout,0.5,0.5,4,440,1.0,0.0,1.0,0.0,6.0
exact_k,parent_shared,frontier_dropout,0.5,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.5,0.75,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.5,0.75,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.5,0.75,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,parent_shared,frontier_dropout,0.5,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.5,1.0,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.5,1.0,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.5,1.0,4,440,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.75,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.75,0.25,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,parent_shared,frontier_dropout,0.75,0.25,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,parent_shared,frontier_dropout,0.75,0.25,4,440,1.0,0.0,1.0,0.0,4.0
exact_k,parent_shared,frontier_dropout,0.75,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.75,0.5,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,parent_shared,frontier_dropout,0.75,0.5,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,parent_shared,frontier_dropout,0.75,0.5,4,440,1.0,1.0,0.0,0.0,6.0
exact_k,parent_shared,frontier_dropout,0.75,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.75,0.75,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.75,0.75,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.75,0.75,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,parent_shared,frontier_dropout,0.75,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.75,1.0,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.75,1.0,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,0.75,1.0,4,440,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,1.0,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,1.0,0.25,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,parent_shared,frontier_dropout,1.0,0.25,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,parent_shared,frontier_dropout,1.0,0.25,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,parent_shared,frontier_dropout,1.0,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,1.0,0.5,2,430,1.0,1.0,0.0,0.0,2.0
exact_k,parent_shared,frontier_dropout,1.0,0.5,3,476,1.0,1.0,0.0,0.0,3.0
exact_k,parent_shared,frontier_dropout,1.0,0.5,4,440,1.0,1.0,0.0,0.0,6.0
exact_k,parent_shared,frontier_dropout,1.0,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,1.0,0.75,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,1.0,0.75,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,1.0,0.75,4,440,1.0,1.0,0.0,0.0,4.0
exact_k,parent_shared,frontier_dropout,1.0,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,1.0,1.0,2,430,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,1.0,1.0,3,476,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,frontier_dropout,1.0,1.0,4,440,1.0,1.0,0.0,0.0,1.0
exact_k,parent_shared,ledger_failure,0.0,0.25,1,1054,0.0,0.0,0.0,0.0,1.0
exact_k,parent_shared,ledger_failure,0.0,0.25,2,430,0.0,0.0,0.0,0.0,2.0
exact_k,parent_shared,ledger_failure,0.0,0.25,3,476,0.0,0.0,0.0,0.0,3.0
exact_k,parent_shared,ledger_failure,0.0,0.25,4,440,0.0,0.0,0.0,0.0,4.0
exact_k,parent_shared,ledger_failure,0.0,0.5,1,1054,0.0,0.0,0.0,0.0,1.0
